Subject,Code,Title,Prerequisites
AAPI,AAPI 87,First-year Seminar,N/A
AAPI,AAPI 198,Directed Group Study,N/A
AIP,AIP 97,Academic Internship,"lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3"
AIP,AIP 197,Academic Internship Program,upper-division standing; department approval
AIP,AIP 197DC,"UCDC: Washington, DC Internship",upper-division standing; department approval
AIP,AIP 197P,Public Service Internship,N/A
AIP,AIP 197T,Academic Internship Program—Special Programs,ninety units minimum completed; 2
ANTH,ANTH 1,Introduction to Culture,N/A
ANTH,ANTH 2,Human Origins,N/A
ANTH,ANTH 3,Global Archaeology,N/A
ANTH,ANTH 4,Words and Worlds: Introduction to Linguistic Anthropology,N/A
ANTH,ANTH 5,The Human Machine,N/A
ANTH,ANTH 10,Climate Justice,N/A
ANTH,ANTH 20,Environmental Anthropology: Human Dimensions of Climate Change,N/A
ANTH,ANTH 21,Race and Racisms,N/A
ANTH,ANTH 23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies",N/A
ANTH,ANTH 24,Mapping Capitalism,N/A
ANTH,ANTH 25,What Makes Us Human? Hands-On Research in Anthropology,N/A
ANTH,ANTH 30,Decolonizing the Body,N/A
ANTH,ANTH 42,Primates in a Human-Dominated World,N/A
ANTH,ANTH 43,Introduction to Biology and Culture of Race,N/A
ANTH,ANTH 45,Wisdom and Ecstasy,N/A
ANTH,ANTH 46,Islamophobia is Racism,N/A
ANTH,ANTH 87,First-year Student Seminar,N/A
ANTH,ANTH 101,Foundations of Social Complexity,upper-division standing
ANTH,ANTH 102,Humans Are Cultural Animals,upper-division standing
ANTH,ANTH 103,Sociocultural Anthropology,upper-division standing
ANTH,ANTH 104,Transforming the Global Environment,upper-division standing
ANTH,ANTH 105,"Climate Change, Race, and Inequality",upper-division standing
ANTH,ANTH 106,Climate and Civilization,upper-division standing
ANTH,ANTH 107,"Designing for Disasters, Emergencies, and Extreme Weather",upper-division standing
ANTH,ANTH 108,"Indigenous Peoples, Extractive Development, and Climate Change",upper-division standing
ANTH,ANTH 109,"Climate Change, Cultural Heritage, and Vulnerability",upper-division standing
ANTH,ANTH 110,The Climate Change Seminar,upper-division standing
ANTH,ANTH 111,Religion and Ecology: How Religion Matters in the Anthropocene,upper-division standing
ANTH,ANTH 112,Regenerative Science and Human Ecology,upper-division standing
ANTH,ANTH 113,Methods in Environmental Anthropology: Case Studies,upper-division standing
ANTH,ANTH 120,Climate Change in California: Problems and Solutions,upper-division standing
ANTH,ANTH 128A,Climate Action Scholars: Community Engagement and Research,upper-division standing
ANTH,ANTH 128B,Climate Action Scholars: Capstone Project,ANTH 128A or USP 128A
ANTH,ANTH 130,Decolonizing the Body,upper-division standing
ANTH,ANTH 131,Anthropology of AI,upper-division standing
ANTH,ANTH 192,Senior Seminar in Anthropology,upper-division standing; department stamp and/or consent of instructor
ANTH,ANTH 195,Instructional Apprenticeship in Anthropology,upper-division standing and consent of instructor and department stamp
ANTH,ANTH 196A,Honors Studies in Anthropology,ANTH 192 and department approval
ANTH,ANTH 196B,Honors Studies in Anthropology,completion of ANTH 196A with grade of B+ or better
ANTH,ANTH 196C,Honors Studies in Anthropology,ANTH 196A-B
ANTH,ANTH 197,Field Studies,N/A
ANTH,ANTH 198,Directed Group Study,consent of instructor and upper-division standing with minimum GPA of 2
ANTH,ANTH 199,Independent Study,consent of instructor and upper-division standing with minimum GPA of 2
ANTH,ANAR 100,Special Topics in Anthropological Archaeology,upper-division standing or consent of instructor
ANTH,ANAR 104,Introduction to Geographic Information Systems,upper-division standing
ANTH,ANAR 111,Foundations of Archaeology,upper-division standing
ANTH,ANAR 113,"Past, Present, and Future Perspectives on Natural Resources in Israel",upper-division standing
ANTH,ANAR 114,Environmental Hazards in Israel,upper-division standing
ANTH,ANAR 115,Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean,upper-division standing
ANTH,ANAR 115B,Coastal Geomorphology and GIS Applications,upper-division standing
ANTH,ANAR 116,Sea Level Change—The Israel Case in World Perspective,upper-division standing
ANTH,ANAR 117,"Archaeological Field and Lab Class, Southern California",upper-division standing or consent of instructor
ANTH,ANAR 118,Archaeology of the UC San Diego Campus,upper-division standing or consent of instructor
ANTH,ANAR 119S,Archaeological Field and Lab Class,upper-division standing or consent of instructor
ANTH,ANAR 120,Documenting Climate Change: Past and Present,upper-division standing or consent of instructor
ANTH,ANAR 121,Cyber-Archaeology and World Digital Cultural Heritage,upper-division standing or consent of instructor
ANTH,ANAR 124,Archaeology of Asia,upper-division standing
ANTH,ANAR 135,Ancient Mediterranean Civilization,upper-division standing
ANTH,ANAR 138,Mesopotamia: The Emergence of Civilization,upper-division standing
ANTH,ANAR 143,Biblical Archaeology—Fact or Fiction,upper-division standing
ANTH,ANAR 144,"Pharaohs, Mummies, and Pyramids: Introduction to Egyptology",upper-division standing
ANTH,ANAR 145S,Study Abroad: Egypt of the Pharaohs,consent of instructor only
ANTH,ANAR 146,Feeding the World,upper-division standing
ANTH,ANAR 153,The Mysterious Maya,upper-division standing
ANTH,ANAR 154,The Aztecs and their Ancestors,upper-division standing
ANTH,ANAR 155,Study Abroad: Ancient Mesoamerica,students must apply to study abroad program and obtain consent of instructor
ANTH,ANAR 155S,Study Abroad: Ancient Mesoamerica,students must apply and be accepted to the study abroad program to be given permission to enroll
ANTH,ANAR 156,The Archaeology of South America,upper-division standing
ANTH,ANAR 157,Early Empires of the Andes: The Middle Horizon,upper-division standing or consent of instructor
ANTH,ANAR 157S,Early Empires of the Andes: The Middle Horizon,upper-division standing or consent of instructor
ANTH,ANAR 158,The Inca: Empire of the Andes,upper-division standing or consent of instructor
ANTH,ANAR 158GS,The Inca,upper-division standing
ANTH,ANAR 159,Pre-Hispanic Societies of the Caribbean Archipelago,upper-division standing
ANTH,ANAR 159GS,"“1492”: Coexistence, Crusade, and the Origins of the Spanish Conquest",upper-division standing
ANTH,ANAR 160,Ancient Maya: Archaeological Problems and Perspectives,upper-division standing and ANAR 153
ANTH,ANAR 164,Underwater Archaeology—From Atlantis to Science,upper-division standing
ANTH,ANAR 165,Marine and Coastal Archaeology and the Biblical Seas,upper-division standing
ANTH,ANAR 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,upper-division standing
ANTH,ANAR 167,Geoarchaeology in Theory and Practice,upper-division standing
ANTH,ANAR 180,Archaeology Workshop: Advanced Lab Work in Archaeology,upper-division standing
ANTH,ANAR 181,The Archaeology of Hunters-Gatherers,upper-division standing
ANTH,ANAR 182,Origins of Agriculture and Sedentism,upper-division standing
ANTH,ANAR 183,"Chiefdoms, States, and the Emergence of Civilizations",upper-division standing
ANTH,ANAR 184,Empires in Archaeological Perspective,upper-division standing
ANTH,ANAR 186,The Human Era: The Archaeology of the Anthropocene,upper-division standing
ANTH,ANBI 100,Special Topics in Biological Anthropology,upper-division standing
ANTH,ANBI 109,Brain Mind Workshop,upper-division standing
ANTH,ANBI 111,Human Evolution,upper-division standing
ANTH,ANBI 112,Methods in Human Comparative Neuroscience,upper-division standing
ANTH,ANBI 114,Methods in Primate Conservation,upper-division standing
ANTH,ANBI 116,Human Sexuality in an Evolutionary Perspective,upper-division standing
ANTH,ANBI 117,Ancient Genomics: Who We Are and How We Got Here,upper-division standing
ANTH,ANBI 118,Technology on the Go: Mobile Tools for Human Biology,upper-division standing
ANTH,ANBI 120,Ethical Dilemmas in Biological Anthropology,upper-division standing
ANTH,ANBI 121,The Original Moonshot: The Voyaging Achievements of the Polynesian Ancestors,upper-division standing
ANTH,ANBI 130,Biology of Inequality,upper-division standing
ANTH,ANBI 131,Biology and Culture of Race,upper-division standing
ANTH,ANBI 132,Conservation and the Human Predicament,upper-division standing or consent of instructor
ANTH,ANBI 133,Planet of the Apes: Evolution and Ecology of the Great Ape,upper-division standing
ANTH,ANBI 134,Human Evolutionary Genetics,BILD 1 and upper-division standing
ANTH,ANBI 135,Genetic Anthropology Lab Techniques,BILD 1 and upper-division standing
ANTH,ANBI 136,Human Comparative Neuroanatomy,upper-division standing
ANTH,ANBI 139,Evolution of Human Disease,upper-division standing
ANTH,ANBI 140,The Evolution of the Human Brain,upper-division standing
ANTH,ANBI 141,The Evolution of Human Diet,upper-division standing
ANTH,ANBI 143,The Human Skeleton,upper-division standing
ANTH,ANBI 143GS,The Human Skeleton in Paris,upper-division standing
ANTH,ANBI 144,Human Anatomy,upper-division standing
ANTH,ANBI 144GS,The Human Anatomy in Paris,upper-division standing
ANTH,ANBI 145,Bioarcheology (4),upper-division standing
ANTH,ANBI 146,Stable Isotopes in Ecology,upper-division standing
ANTH,ANBI 148,Not by Genes Alone: The Ecology and Evolution of Primate Behavior,upper-division standing
ANTH,ANBI 149,Social and Behavioral Epigenetics,upper-division standing
ANTH,ANBI 159,Biological and Cultural Perspectives on Intelligence,upper-division standing
ANTH,ANBI 173,How Monkeys See the World,upper-division standing
ANTH,ANBI 174,Conservation and the Media: Film Lab,upper-division standing
ANTH,ANBI 175,Paleofantasy: The Evidence for Our Early Ancestors,upper-division standing
ANTH,ANBI 176,Indigenous Knowledge and Climate Change,upper-division standing
